"athlete_id","player_name","team","position","headshot_url"
"5095835","Chauncey Spikes","North Carolina Central","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095835.png"
"5095838","Kendrick DuJour","East Carolina","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5095838.png"
"5095841","Layne Swafford","Florida","EDGE","https://a.espncdn.com/i/headshots/college-football/players/full/5095841.png"
"5095842","Seven Warren","Delaware State","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095842.png"
"5095851","Jackson Barker","East Carolina","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5095851.png"
"5095852","Josh Benton","East Carolina","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5095852.png"
"5095853","Preston Carr","East Carolina","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5095853.png"
"5095857","Trey Hardison","East Carolina","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095857.png"
"5095861","Max Lantzsch","New Mexico","DT","https://a.espncdn.com/i/headshots/college-football/players/full/5095861.png"
"5095863","Fletcher Marshall Jr.","Northern Iowa","CB","https://a.espncdn.com/i/headshots/college-football/players/full/5095863.png"
"5095864","Emmanuel Poku","East Carolina","OL","https://a.espncdn.com/i/headshots/college-football/players/full/5095864.png"
"5095867","Jamari Young","Gardner-Webb","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5095867.png"
"5095915","Moussa Barry","Western Kentucky","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095915.png"
"5095945","Brooks Harris","Thomas More College",NA,"https://a.espncdn.com/i/headshots/college-football/players/full/5095945.png"
"5095991","Cowinn Helaire","LSU","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5095991.png"
"5095997","Marcell Blocker","UTEP","CB","https://a.espncdn.com/i/headshots/college-football/players/full/5095997.png"
"5096008","Antwan Davis","Norfolk State","DB","https://a.espncdn.com/i/headshots/college-football/players/full/5096008.png"
"5096044","Chams Diagne","Georgia State","CB","https://a.espncdn.com/i/headshots/college-football/players/full/5096044.png"
"5096045","Michael Fitzmeyer","Georgia State","LS","https://a.espncdn.com/i/headshots/college-football/players/full/5096045.png"
"5096049","Tarance Breedlove","Presbyterian","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5096049.png"
"5096050","Liam Rickman","Georgia State","PK","https://a.espncdn.com/i/headshots/college-football/players/full/5096050.png"
"5096107","C'Quan Jnopierre","Florida International","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5096107.png"
"5096141","Armond Anderson","Western Carolina","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5096141.png"
"5096153","Caleb Walker","UTEP","S","https://a.espncdn.com/i/headshots/college-football/players/full/5096153.png"
"5096170","Tyrese Weeks","Southern Miss","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5096170.png"
"5096274","Richard Nwaukoni","Florida International","DL","https://a.espncdn.com/i/headshots/college-football/players/full/5096274.png"
"5096294","Kerry Wilson","Louisiana","S","https://a.espncdn.com/i/headshots/college-football/players/full/5096294.png"
"5096393","Gage Messick","UAB","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5096393.png"
"5096394","Jackson Thomas","Troy","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5096394.png"
"5096410","Preston Pearson","Chadron St",NA,"https://a.espncdn.com/i/headshots/college-football/players/full/5096410.png"
"5096433","Brodie Eisenbraun","Chadron St",NA,"https://a.espncdn.com/i/headshots/college-football/players/full/5096433.png"
"5096466","Tommy Thomas","Chadron St",NA,"https://a.espncdn.com/i/headshots/college-football/players/full/5096466.png"
"5096519","Michael James","Texas State","PK","https://a.espncdn.com/i/headshots/college-football/players/full/5096519.png"
"5096521","Will Cornelson","Idaho","LB","https://a.espncdn.com/i/headshots/college-football/players/full/5096521.png"
"5096598","Cameren Smith","Charlotte","RB","https://a.espncdn.com/i/headshots/college-football/players/full/5096598.png"
"5096643","Bryson Burns","Southeast Missouri State","WR","https://a.espncdn.com/i/headshots/college-football/players/full/5096643.png"
