"rank","player_name","profile_name","profile_url","profile_state","article_position","article_school","article_state","article_notes","high_school","height","weight","grad_year","sixty_time","max_exit_velocity","max_bat_speed","infield_velocity","outfield_velocity","catcher_velocity","max_hand_speed","commitment","age","bats","throws","travel_team","fastball_velocity","curveball_velocity","slider_velocity","changeup_velocity","fastball_spin_rate","pop_time","scrape_error","home_to_first"
"34","Liam Peterson","Liam Peterson","https://www.prepbaseballreport.com/profiles/FL/Liam-Peterson-5469087123","FL","RHP","Florida","","","Florida","6' 5""","235","2023","","","","12","","","","Florida (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","20yr 11mo","R","R","Top tier roos 2023","94","76-79","","83-85","2408","","",""
"35","Trevor Condon","Trevor Condon","https://www.prepbaseballreport.com/profiles/GA/Trevor-Condon-0712694358","GA","OF","Etowah HS (GA)","GA","","Etowah (HS) / GA","5' 9""","175.5","2026","6.66","106.2","81.3","95","95","","22.4","Tennessee (9/10/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 4mo","L","R","2026 Aces National","81.9","69 - 70","71.5 - 72.9","75.4 - 77.7","","","",""
"36","Sean Duncan","Sean Duncan","https://www.prepbaseballreport.com/profiles/BC/Sean-Duncan-4725809136-4903671258","BC","LHP","Port Coquitlam HS (BC)","BC","","Port Coquitlam (HS) / BC","6' 3""","180","2026","","","","","","","","Vanderbilt (10/09/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Pitching Velos News Comments Contact Best Of Stats Fastball 87 Velocity (max) 5/01/23 84 - 87 Velo Range 5/01/23 - Spin Rate (avg) Changeup 71 - 73 Velo Range 5/01/23 - Spin Rate (avg) Curveball 69 - 71 Velo Range 5/01/23 - Spin Rate (avg)","","","","Langley Blaze","93","76-77","","71-73","","","",""
"37","Carson Bailey","Carson Bailey","https://www.prepbaseballreport.com/profiles/TX/Carson-Bailey","TX","LHP","McLennan JC (TX)","TX","","McLennan CC","6' 3""","215","2024","","","","","","","","McLennan CC (7/01/25) Baylor (11/15/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe News Contact Best Of Stats 2025 McLennan CC Scout Day Sep 18, 2025","","","","","93","","","","","","",""
"38","Matt Ponatoski","Matt Ponatoski","https://www.prepbaseballreport.com/profiles/OH/Matt-Ponatoski-8541763209","OH","RHP/SS","Archbishop Moeller HS (OH)","OH","","Archbishop Moeller (HS) / OH","6' 2""","195.8","2026","6.90","100.3","78.4","96","","","24.6","Kentucky (7/06/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 2mo","L","R","Wow Factor","97","80-82","79-80","83-85","","","",""
"39","Aiden Ruiz","Aiden Ruiz","https://www.prepbaseballreport.com/profiles/NY/Aiden-Ruiz-5984270316","NY","SS","Stony Brook HS (NY)","NY","","The Stony Brook (HS) / NY","5' 10""","160","2026","6.97","92.3","71.5","83","","","22.7","Vanderbilt (10/06/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","19yr 1mo","S","R","Team Elite","","","","","","","",""
"40","Landon Thome","Landon Thome","https://www.prepbaseballreport.com/profiles/IL/Landon-Thome-6238519074","IL","UTL","Nazareth Academy HS (IL)","IL","","Nazareth Academy (HS) / IL","6' 1""","180.1","2026","6.82","99.1","78.6","85","","","24.0","Florida State (12/02/25) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 6mo","L","R","East Cobb Astros 17u","","","","","","","",""
"41","Henry Ford","Henry Ford","https://www.prepbaseballreport.com/profiles/VA/Henry-Ford-2931768405-8439765120","VA","3B/OF","Tennessee","","","Tennessee","6' 2""","205","2023","","","","","","","","","","","","Stars Baseball","88","71 - 73","","","","","",""
"42","Jarren Advincula","Jarren Advincula","https://www.prepbaseballreport.com/profiles/CA/Jarren-Advincula-7386190425-6897410532","CA","2B","Georgia Tech","","","Archbishop Mitty (HS) / CA","6' 0""","185","2023","6.71","96.4","76.5","87","","","24.6","(6/15/25) (6/01/23) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot","21yr 4mo","L","R","California Club Baseball","","","","","","","",""
"43","Matthew Sharman","Matthew Sharman","https://www.prepbaseballreport.com/profiles/GA/Matthew-Sharman-2397085614","GA","RHP","Etowah HS (GA)","GA","","Etowah (HS) / GA","6' 4""","218","2026","7.52","92.7","","78","","","","(6/10/24) Videos This Area is only available to Prep Baseball Plus subscribers. Login Subscribe Best of Snapshot Physical","18yr 7mo","R","R","Canes National/ NY METS Scout","95","77-78","80 - 82.6","80.6-83.0","2663","","",""
